name,first_name,last_name,birth_city,birth_state,birth_country,birth_date,college,draft_team,draft_round,draft_pick,draft_year,position,height,weight,death_date,death_city,death_state,death_country,year_start,year_end
Isaako Aaitui,Isaako,Aaitui,,,,1/25/1987,,,,,,NT,4-Jun,315,,,,,2013,2013
Faye Abbott,Faye,Abbott,Clearport,OH,USA,1895-08-16,Syracuse,,,,,BB-FB-TB-QB-WB-,8-May,182,1/22/1965,Dayton,OH,,1921,1929
Vince Abbott,Vince,Abbott,London,,England,5/31/1958,Washington,,,,,K,11-May,207,,,,,1921,1929
Duke Abbruzzi,Duke,Abbruzzi,Warren,RI,USA,8/3/1917,Rhode Island,,,,,HB-DB,10-May,175,12/6/1982,Newport,RI,,1921,1929
Karim Abdul-Jabbar,Karim,Abdul-Jabbar,Los Angeles,CA,USA,6/28/1974,UCLA,Miami Dolphins,3rd,80th,1996,RB,10-May,194,,,,,1996,2000
Isa Abdul-Quddus,Isa,Abdul-Quddus,,,,8/3/1989,Fordham,,,,,S,1-Jun,220,,,,,1996,2000
Hamza Abdullah,Hamza,Abdullah,Los Angeles,CA,USA,8/20/1983,Washington St.,Tampa Bay Buccaneers,7th,231st,2005,DB,2-Jun,213,,,,,1996,2000
Husain Abdullah,Husain,Abdullah,Los Angeles,CA,USA,7/27/1985,Washington St.,,,,,DB,Jun-00,204,,,,,1996,2000
Khalid Abdullah,Khalid,Abdullah,Jacksonville,FL,USA,3/6/1979,Mars Hill,Cincinnati Bengals,5th,136th,2003,LB,2-Jun,227,,,,,1996,2000
Rabih Abdullah,Rabih,Abdullah,Martinsville,VA,USA,4/27/1975,Lehigh,,,,,RB,Jun-00,220,,,,,1996,2000
Rahim Abdullah,Rahim,Abdullah,Jacksonville,FL,USA,3/22/1976,Clemson,Cleveland Browns,2nd,45th,1999,LB,5-Jun,233,,,,,1996,2000
Fred Abel,Fred,Abel,Lincoln,NE,USA,7/17/1903,Washington,,,,,BB-FB,10-May,170,8/2/1980,Port Townsend,WA,,1926,1926
Bud Abell,Bud,Abell,Kansas City,MO,USA,12/21/1940,Missouri,Kansas City Chiefs,23rd,178th,1964,LB,3-Jun,220,,,,,1926,1926
Walter Abercrombie,Walter,Abercrombie,Waco,TX,USA,9/26/1959,Baylor,Pittsburgh Steelers,1st,12th,1982,RB,Jun-00,210,,,,,1926,1926
Cliff Aberson,Cliff,Aberson,Chicago,IL,USA,8/28/1921,none,,,,,TB-DB,Jun-00,195,6/23/1973,Vallejo,CA,,1926,1926
